,store,sido,gungu,store_address
608,방이2점,서울특별시,송파구,서울특별시 송파구 방이동 159-16
609,방화1점,서울특별시,강서구,"서울특별시 강서구 양천로11길 8 (방화동, 1층)"
610,방화2점,서울특별시,강서구,"서울특별시 강서구 방화동로 116-1(방화동, 1층)"
611,배곧신도시1점,경기도,시흥시,경기도 시흥시 배곧4로 32-13 102호
612,백련시장점,서울특별시,서대문구,서울특별시 서대문구 남가좌2동 347-1
613,백석점,경기도,양주시,경기도 양주시 백석읍 양주산성로 
614,백암점,경상북도,울진군,경상북도 울진군 온정면 소태리 933
615,백양사점,전라남도,장성군,전라남도 장성군 북하면 백양로 904
616,백천점,경상북도,경산시,경상북도 경산시 백천동 573-1 108
617,백학점,경기도,연천군,경기도 연천군 백학면 두일로143번길 37
618,번동점,서울특별시,강북구,서울특별시 강북구 번3동 307 1층 5호
619,범서점,울산광역시,울주군,울산광역시 울주군 범서읍 점촌5길 37
620,범어점,경상남도,양산시,경상남도 양산시 물금읍 범어리 721-1
621,범어B점,대구광역시,수성구,대구광역시 수성구 동대구로77길 24
622,법1동점,대전광역시,대덕구,대전광역시 대덕구 법동 281 삼정하이츠@상가 1층
623,법2동점,대전광역시,대덕구,대전광역시 대덕구 법동 206-6
624,별내점,경기도,남양주시,경기도 남양주시 별내중앙로26 111호
625,병영점,울산광역시,중구,울산광역시 중구 병영로 80
626,병점점,경기도,화성시,경기도 화성시 병점동 828-2
627,병천점,충청남도,천안시,충청남도 천안시동남구 병천면 병천리 157-17
628,보개점,경기도,안성시,경기도 안성시 보개면 남사당로 1-3
629,보광2점,서울특별시,용산구,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)"
630,보라매동점,서울특별시,관악구,서울특별시 관악구 보라매로 22 (봉천동)
631,보라점,경기도,용인시,경기도 용인시기흥구 사은로 116
632,보은점,충청북도,보은군,충청북도 보은군 보은읍 삼산리 44-1
633,복대점,충청북도,청주시,충청북도 청주시흥덕구 복대로199번길 3
634,복수점,대전광역시,서구,대전광역시 서구 복수동 283-397
635,복창점,경기도,평택시,"경기도 평택시 신장동 서밀월로18,2층"
636,본리점,대구광역시,달서구,대구광역시 달서구 본리동 81-3번지
637,본오2점,경기도,안산시,경기도 안산시상록구 각골로 123
638,봉계점,울산광역시,울주군,울산광역시 울주군 두동면 계명1길 39(1층)
